hotspot_id,feature_id,contrat_id,contrato,area_nombre,operador,estado_area,tipo_contrato,cuenca,proceso,distancia_m,clase_espacial
f2621f0a4443d66c77f7a363,32,0147,ORTEGA,ORTEGA,HOCOL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VSM,CONTRATACION DIRECTA,0.00,dentro
f2621f0a4443d66c77f7a363,87,0042,DOIMA,NO APLICA,ECOPETROL S.A.,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VSM,NO APLICA,1362.93,entre_1_y_5_km
f2621f0a4443d66c77f7a363,277,0554,VSM 4,NO APLICA,MAUREL AND PROM COLOMBIA B.V.,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VSM,RONDA COLOMBIA 2021,4745.16,entre_1_y_5_km
f8cba123991181ced6c74665,87,0042,DOIMA,NO APLICA,ECOPETROL S.A.,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VSM,NO APLICA,0.00,dentro
f8cba123991181ced6c74665,32,0147,ORTEGA,ORTEGA,HOCOL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VSM,CONTRATACION DIRECTA,272.73,hasta_1_km
f8cba123991181ced6c74665,277,0554,VSM 4,NO APLICA,MAUREL AND PROM COLOMBIA B.V.,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VSM,RONDA COLOMBIA 2021,4971.67,entre_1_y_5_km
fa09e2b13115fec1b3e84fac,179,0357,ARMERO,ARMERO,HOCOL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VMM,NO APLICA,1245.26,entre_1_y_5_km
ff8e1ed417895f4c5166f721,179,0357,ARMERO,ARMERO,HOCOL S.A.,PRODUCCION,CONVENIO DE EXPLOTACION,VMM,NO APLICA,1396.90,entre_1_y_5_km
03b622c360aa7f956073ba6c,409,0210,VMM 12,WOLF,INGENIERIA CONSTRUCCIONES Y EQUIPOS CONEQUIPOS ING S.A.S.,EVALUACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VMM,MINIRONDA 2008,0.00,dentro
2eed5c02f4b0e6bb92caf3aa,261,0778,VMM 49,NO APLICA,CANTANA ENERGY S.A.,EXPLORACION,CONTRATO DE EXPLORACION Y PRODUCCION (E&P),VMM,PPAA 2019 PRIMER CORTE,4532.12,entre_1_y_5_km
2eed5c02f4b0e6bb92caf3aa,120,0031,LAS QUINCHAS,NO APLICA,LAS QUINCHAS RESOURCES CORP,PRODUCCION,CONTRATO DE ASOCIACION CON ECOPETROL,VMM,NO APLICA,4713.06,entre_1_y_5_km
